Event Name;Local Gym;Organisation / Gym;Location;Start Date;End Date;Type Race: Solo;Type Race: Duo / Buddy;Type Race: Relay;Type Race: Team;Type Race: Other;Type race;Division: Open / Normal;Division: Pro / Heavy;Division: Other;Ticket Price Low;Ticket Price High;Fitness / Obstacle;Indoor / Outdoor;Hyrox Workout;About This Event;Instagram (link);Website (link);Tickets (link);Workout (link);Weights (link);Contact / Email
Harbour Run;No;Harbour Run;RDM Onderzeebootloods, Rotterdam;04/10/2026;;Yes;No;No;Yes;No;Urban Obstacle Run (6km ~18 obst., 10km ~34 obst.);Yes;No;No;;;Obstacle;Outdoor;No;Rotterdam Havenstad! Ontdek het op 4 oktober 2026 tijdens de 13e editie van de Harbour Run Rotterdam. Ren tussen en klim over de grote containers als een echte havenarbeider. Haal je klauwen maar uit de mouwen, want het parcours heeft verschillende obstakels die je moet overwinnen. Gaan jullie samen de uitdaging aan?;https://www.instagram.com/harbourrunnl/;https://harbourrun.nl/;https://harbourrun.nl/;;;info@harbourrun.nl
HealthROX;Yes;Health Platform;Olympus '70, Naaldwijk;29/05/2026;31/05/2026;Yes;Yes;No;No;No;Solo / Duo – HYROX style competition;Yes;Yes;No;40;;Fitness;Indoor & Outdoor;No;Nieuwe editie met extra heats en festival sfeer. Daag jezelf uit als atleet op 8 explosieve workouts, telkens gevolgd door een 1000 meter run op de atletiekbaan. Pure strijd. Geen excuses.;https://www.instagram.com/healthplatform.nl/;https://www.health-platform.nl/nl/HealthROX;https://www.health-platform.nl/nl/HealthROX;https://www.health-platform.nl/nl/HealthROX;https://www.health-platform.nl/nl/HealthROX;info@health-platform.nl
HealthROX;Yes;Health Platform;Olympus '70, Naaldwijk;27/09/2025;28/09/2025;No;Yes;No;No;No;Solo / Duo – HYROX style competition;Yes;Yes;No;40;;Fitness;Indoor & Outdoor;No;Nieuwe editie met extra heats en festival sfeer. Daag jezelf uit als atleet op 8 explosieve workouts, telkens gevolgd door een 1000 meter run op de atletiekbaan. Pure strijd. Geen excuses.;https://www.instagram.com/healthplatform.nl/;https://www.health-platform.nl/nl/HealthROX;https://www.health-platform.nl/nl/HealthROX;https://www.health-platform.nl/nl/HealthROX;https://www.health-platform.nl/nl/HealthROX;info@health-platform.nl
HexaFit Fitness Race Haarlem;No;HexaFit;Sporthal Kennemer Sportcenter, Haarlem;06/06/2026;07/06/2026;Yes;Yes;No;No;No;;Yes;Yes;No;80;;Fitness;Indoor;No;HexaFit is de ultieme test van kracht én conditie. Zes kracht en zes conditieonderdelen dagen je uit op elk vlak, geen ruimte om te leunen op één kwaliteit. Verleg je grenzen, ontdek hoe fit je écht bent. Dit is jouw moment. Dit is HexaFit.;https://www.instagram.com/hexafit.nl/;https://hexafit.nl/;https://atleta.cc/e/FTO9kpuTLyLl;https://hexafit.nl/de-12-onderdelen/;https://hexafit.nl/divisies/;info@hexafit.nl
HexaFit Fitness Race Haarlem;No;HexaFit;Sporthal Kennemer Sportcenter, Haarlem;21/06/2025;;Yes;Yes;No;No;No;;Yes;Yes;No;Uitverkocht;;Fitness;Indoor;No;HexaFit is de ultieme test van kracht én conditie. Zes kracht en zes conditieonderdelen dagen je uit op elk vlak, geen ruimte om te leunen op één kwaliteit. Verleg je grenzen, ontdek hoe fit je écht bent. Dit is jouw moment. Dit is HexaFit.;https://www.instagram.com/hexafit.nl/;https://hexafit.nl/;https://atleta.cc/e/FTO9kpuTLyLl;https://hexafit.nl/de-12-onderdelen/;https://hexafit.nl/divisies/;info@hexafit.nl
HexaFit Sprint Series IJmuiden;No;HexaFit;CrossFit IJmuiden, IJmuiden;11/01/2025;;No;Yes;No;No;No;"Sprint Series (12 onderdelen; buddy divisies; thematisch)";Yes;No;No;Uitverkocht;;Fitness;Indoor;No;HexaFit is de ultieme test van kracht én conditie. Zes kracht en zes conditieonderdelen dagen je uit op elk vlak, geen ruimte om te leunen op één kwaliteit. Verleg je grenzen, ontdek hoe fit je écht bent. Dit is jouw moment. Dit is HexaFit.;https://www.instagram.com/hexafit.nl/;https://hexafit.nl/;https://hexafit.nl/sprint-series/;https://hexafit.nl/de-12-onderdelen/;https://hexafit.nl/divisies/;info@hexafit.nl
HexaFit Sprint Series Meppel;No;HexaFit;Fitbox Meppel, Meppel;20/12/2025;;No;Yes;No;No;No;"Sprint Series (12 onderdelen; buddy divisies; thematisch)";Yes;No;No;Uitverkocht;;Fitness;Indoor;No;HexaFit is de ultieme test van kracht én conditie. Zes kracht en zes conditieonderdelen dagen je uit op elk vlak, geen ruimte om te leunen op één kwaliteit. Verleg je grenzen, ontdek hoe fit je écht bent. Dit is jouw moment. Dit is HexaFit.;https://www.instagram.com/hexafit.nl/;https://hexafit.nl/;https://hexafit.nl/sprint-series/;https://hexafit.nl/de-12-onderdelen/;https://hexafit.nl/divisies/;info@hexafit.nl
HexaFit Sprint Series Hoorn;No;HexaFit;Hoorn;14/02/2026;;No;Yes;No;No;No;"Sprint Series (12 onderdelen; buddy divisies; thematisch)";Yes;No;No;70;;Fitness;Indoor;No;HexaFit is de ultieme test van kracht én conditie. Zes kracht en zes conditieonderdelen dagen je uit op elk vlak, geen ruimte om te leunen op één kwaliteit. Verleg je grenzen, ontdek hoe fit je écht bent. Dit is jouw moment. Dit is HexaFit.;https://www.instagram.com/hexafit.nl/;https://hexafit.nl/;https://hexafit.nl/sprint-series/;https://hexafit.nl/de-12-onderdelen/;https://hexafit.nl/divisies/;info@hexafit.nl
HexaFit Sprint Series Tilburg;No;HexaFit;Tilburg;25/04/2026;;No;Yes;No;No;No;"Sprint Series (12 onderdelen; buddy divisies; thematisch)";Yes;No;No;70;;Fitness;Indoor;No;HexaFit is de ultieme test van kracht én conditie. Zes kracht en zes conditieonderdelen dagen je uit op elk vlak, geen ruimte om te leunen op één kwaliteit. Verleg je grenzen, ontdek hoe fit je écht bent. Dit is jouw moment. Dit is HexaFit.;https://www.instagram.com/hexafit.nl/;https://hexafit.nl/;https://hexafit.nl/sprint-series/;https://hexafit.nl/de-12-onderdelen/;https://hexafit.nl/divisies/;info@hexafit.nl
Hybride Extreme;Yes;Hybride Sports Venlo;Sportpark Maassenhof, Venlo;20/12/2025;;Yes;Yes;No;No;No;Local hybrid fitness challenge (multi‑station + runs);Yes;No;No;55;70;Fitness;Indoor & Outdoor;No;"Deelnemers leggen meerdere HYROX/HYBRIDE BATTLE-rondes af, afgewisseld met functionele workouts.

Of je nu solo gaat of in teamverband: deze editie vraagt het uiterste van je doorzettingsvermogen. Nieuw is dat we buiten de 12-uurs variant ook een 6-uurs variant aanbieden én daarnaast kun je kiezen tussen het uitvoeren van HYROX óf HYBRIDE BATTLE. Tevens introduceren we onze eigen Battle Fit test waar je aan kan deelnemen!";https://www.instagram.com/hybridesportsvenlo/;https://www.hybridesports.nl/evenementen/hybrid-extreme;https://www.hybridesports.nl/evenementen/hybrid-extreme;;;info@hyroxvenlo.nl
Hybride Battle;Yes;Hybride Sports Venlo;Daily Trade Fair, Venlo;07/03/2026;;Yes;YEs;Yes;No;No;;Yes;No;No;20;50;Fitness;Indoor & Outdoor;No;De volgende editie van de Hybride Battle vindt plaats op zaterdag 7 maart 2026 bij Daily Trade Fair Venlo – de voormalige bloemenveiling. Deze unieke en karakteristieke locatie biedt volop ruimte voor een grootschalig indoor fitnessevent, met hardlooproutes buiten en de workouts binnen.;https://www.instagram.com/hybridebattle/;https://www.hybridebattle.nl/;https://www.hybridebattle.nl/;;;info@hybridebattle.nl
Hybrid Games NL 1st Edition;No;Hybrid Games NL;Omnisport, Apeldoorn;28/06/2025;;Yes;Yes;No;No;Yes;Solo / Duo – Hybrid fitness race;Yes;No;No;70;92,5;Fitness;Outdoor;No;Brengt kracht en conditie samen. Een race in de openlucht om als hybride atleet jezelf maximaal uit te dagen op 9 toffe onderdelen die afgewisseld worden met steeds een 500 meter run op de atletiekbaan. Ben jij allround? Doe de race individueel, samen of schrijf je in voor de ouder-kind divisie. Let’s go!;https://www.instagram.com/hybridgamesnl/;https://hybridgamesnl.com/;;https://hybridgamesnl.com/#de-race;;info@hybridgamesnl.com
Hybrid Games NL 2nd Edition;No;Hybrid Games NL;Omnisport, Apeldoorn;06/09/2025;;Yes;Yes;No;No;Yes;Solo / Duo – Hybrid fitness race;Yes;No;No;70;92,5;Fitness;Outdoor;No;Brengt kracht en conditie samen. Een race in de openlucht om als hybride atleet jezelf maximaal uit te dagen op 9 toffe onderdelen die afgewisseld worden met steeds een 500 meter run op de atletiekbaan. Ben jij allround? Doe de race individueel, samen of schrijf je in voor de ouder-kind divisie. Let’s go!;https://www.instagram.com/hybridgamesnl/;https://hybridgamesnl.com/;;https://hybridgamesnl.com/#de-race;;info@hybridgamesnl.com
Hybrid Games NL 3rd Edition;No;Hybrid Games NL;Omnisport, Apeldoorn;04/04/2026;;Yes;Yes;No;No;Yes;Solo / Duo – Hybrid fitness race;Yes;No;No;70;92,5;Fitness;Indoor;No;Brengt kracht en conditie samen. Een race in de openlucht om als hybride atleet jezelf maximaal uit te dagen op 9 toffe onderdelen die afgewisseld worden met steeds een 500 meter run op de atletiekbaan. Ben jij allround? Doe de race individueel, samen of schrijf je in voor de ouder-kind divisie. Let’s go!;https://www.instagram.com/hybridgamesnl/;https://hybridgamesnl.com/;;https://hybridgamesnl.com/#de-race;;info@hybridgamesnl.com
Hybrid Games NL 4th Edition;No;Hybrid Games NL;Omnisport, Apeldoorn;27/06/2026;;Yes;Yes;No;No;Yes;Solo / Duo – Hybrid fitness race;Yes;No;No;70;92,5;Fitness;Outdoor;No;Brengt kracht en conditie samen. Een race in de openlucht om als hybride atleet jezelf maximaal uit te dagen op 9 toffe onderdelen die afgewisseld worden met steeds een 500 meter run op de atletiekbaan. Ben jij allround? Doe de race individueel, samen of schrijf je in voor de ouder-kind divisie. Let’s go!;https://www.instagram.com/hybridgamesnl/;https://hybridgamesnl.com/;;https://hybridgamesnl.com/#de-race;;info@hybridgamesnl.com
HYROX Amsterdam;No;HYROX;RAI, Amsterdam;21/01/2026;25/01/2026;Yes;Yes;Yes;No;No;Solo / Duo / Relay;Yes;Yes;No;120;;Fitness;Indoor;Yes;HYROX verovert de fitnesswereld! De race werd geïnspireerd door miljoenen atleten over de hele wereld die functionele fitness als hun favoriete sport beschouwen. Tot nu toe was er geen meetbare fitnessrace die toegankelijk is voor iedereen. HYROX is de ultieme uitdaging: Een perfecte combinatie tussen kracht, uithoudingsvermogen en vastberadenheid.;https://www.instagram.com/hyroxbenelux/;https://hyroxbenelux.com;https://hyroxbenelux.com/event/hyrox-amsterdam/;https://hyroxbenelux.com/about-race/;https://hyroxbenelux.com/about-race/;benelux@hyrox.com
HYROX Youngstars Amsterdam;No;HYROX;RAI, Amsterdam;24/01/2026;25/01/2026;No;Yes;No;No;No;Solo / Duo / Relay;Yes;No;No;40;60;Fitness;Indoor;Yes;HYROX verovert de fitnesswereld! De race werd geïnspireerd door miljoenen atleten over de hele wereld die functionele fitness als hun favoriete sport beschouwen. Tot nu toe was er geen meetbare fitnessrace die toegankelijk is voor iedereen. HYROX is de ultieme uitdaging: Een perfecte combinatie tussen kracht, uithoudingsvermogen en vastberadenheid.;https://www.instagram.com/hyroxbenelux/;https://hyroxbenelux.com;https://hyroxbenelux.com/event/hyrox-youngstars-amsterdam/;https://hyroxbenelux.com/hyrox-youngstars/;https://hyroxbenelux.com/hyrox-youngstars/;benelux@hyrox.com
HYROX Rotterdam;No;HYROX;Ahoy, Rotterdam;15/04/2026;19/04/2026;Yes;Yes;Yes;No;No;Solo / Duo / Relay;Yes;Yes;No;120;;Fitness;Indoor;Yes;HYROX verovert de fitnesswereld! De race werd geïnspireerd door miljoenen atleten over de hele wereld die functionele fitness als hun favoriete sport beschouwen. Tot nu toe was er geen meetbare fitnessrace die toegankelijk is voor iedereen. HYROX is de ultieme uitdaging: Een perfecte combinatie tussen kracht, uithoudingsvermogen en vastberadenheid.;https://www.instagram.com/hyroxbenelux/;https://hyroxbenelux.com;https://hyroxbenelux.com/event/hyrox-rotterdam/;https://hyroxbenelux.com/about-race/;https://hyroxbenelux.com/about-race/;benelux@hyrox.com
HYROX Utrecht;No;HYROX;Jaarbeurs, Utrecht;28/11/2025;30/11/2025;Yes;Yes;Yes;No;No;Solo / Duo / Relay;Yes;Yes;No;Uitverkocht;;Fitness;Indoor;Yes;HYROX verovert de fitnesswereld! De race werd geïnspireerd door miljoenen atleten over de hele wereld die functionele fitness als hun favoriete sport beschouwen. Tot nu toe was er geen meetbare fitnessrace die toegankelijk is voor iedereen. HYROX is de ultieme uitdaging: Een perfecte combinatie tussen kracht, uithoudingsvermogen en vastberadenheid.;https://www.instagram.com/hyroxbenelux/;https://hyroxbenelux.com;;https://hyroxbenelux.com/about-race/;https://hyroxbenelux.com/about-race/;benelux@hyrox.com
HYROX Maastricht;No;HYROX;MECC, Maastricht;19/09/2025;21/09/2025;Yes;Yes;Yes;No;No;Solo / Duo / Relay;Yes;Yes;No;Uitverkocht;;Fitness;Indoor;Yes;HYROX verovert de fitnesswereld! De race werd geïnspireerd door miljoenen atleten over de hele wereld die functionele fitness als hun favoriete sport beschouwen. Tot nu toe was er geen meetbare fitnessrace die toegankelijk is voor iedereen. HYROX is de ultieme uitdaging: Een perfecte combinatie tussen kracht, uithoudingsvermogen en vastberadenheid.;https://www.instagram.com/hyroxbenelux/;https://hyroxbenelux.com;;https://hyroxbenelux.com/about-race/;https://hyroxbenelux.com/about-race/;benelux@hyrox.com
HYROX Heerenveen;No;HYROX;Thialf, Heerenveen;14/05/2026;17/05/2026;Yes;Yes;Yes;No;No;Solo / Duo / Relay;Yes;Yes;No;120;;Fitness;Indoor;Yes;HYROX verovert de fitnesswereld! De race werd geïnspireerd door miljoenen atleten over de hele wereld die functionele fitness als hun favoriete sport beschouwen. Tot nu toe was er geen meetbare fitnessrace die toegankelijk is voor iedereen. HYROX is de ultieme uitdaging: Een perfecte combinatie tussen kracht, uithoudingsvermogen en vastberadenheid.;https://www.instagram.com/hyroxbenelux/;https://hyroxbenelux.com;https://hyroxbenelux.com/event/hyrox-heerenveen/;https://hyroxbenelux.com/about-race/;https://hyroxbenelux.com/about-race/;benelux@hyrox.com
Myrox Delft;Yes;MIFIT Personal Sport Coaching;MIFIT, Delft;24/08/2025;;Yes;Yes;No;No;No;Solo / Duo – HYROX simulation;Yes;Yes;No;0;30;Fitness;Indoor & Outdoor;Yes;Myrox- De ultieme HYROX race bij Mifit. Test je uithoudingsvermogen en conditie tijdens ons Myrox event op zondag 2 november 2025. Een unieke uitdaging voor sporters van elk niveau.;https://www.instagram.com/mifit_personal_sport_coach/;https://mifitsport.nl/myrox/;https://mifitsport.nl/myrox/;https://hyroxbenelux.com/about-race/;https://hyroxbenelux.com/about-race/;info@mifitsport.nl
Myrox Delft;Yes;MIFIT Personal Sport Coaching;MIFIT, Delft;02/11/2025;02/11/2025;Yes;Yes;No;No;No;Solo / Duo – HYROX simulation (8×1 km run + 8 stations);Yes;Yes;No;15;30;Fitness;Indoor & Outdoor;Yes;Myrox- De ultieme HYROX race bij Mifit. Test je uithoudingsvermogen en conditie tijdens ons Myrox event op zondag 2 november 2025. Een unieke uitdaging voor sporters van elk niveau.;https://www.instagram.com/mifit_personal_sport_coach/;https://mifitsport.nl/myrox/;https://mifitsport.nl/myrox/;https://hyroxbenelux.com/about-race/;https://hyroxbenelux.com/about-race/;info@mifitsport.nl
Myrox Delft;Yes;MIFIT Personal Sport Coaching;MIFIT, Delft;Apr/26;;Yes;Yes;No;No;No;Solo / Duo – HYROX simulation (8×1 km run + 8 stations);Yes;Yes;No;15;30;Fitness;Indoor & Outdoor;Yes;Myrox- De ultieme HYROX race bij Mifit. Test je uithoudingsvermogen en conditie tijdens ons Myrox event op zondag 2 november 2025. Een unieke uitdaging voor sporters van elk niveau.;https://www.instagram.com/mifit_personal_sport_coach/;https://mifitsport.nl/myrox/;https://mifitsport.nl/myrox/;https://hyroxbenelux.com/about-race/;https://hyroxbenelux.com/about-race/;info@mifitsport.nl
